name,institute
Sankhayan Choudhury,"University of Calcutta, India"
Santi Prasad Maity,"Indian Institute of Engineering Science and Technology Shibpur, India"
Santoshinee Mohapatra,"National Institute of Technology Rourkela, India"
Saravanan Chandran,"National Institute of Technology Durgapur, India"
Saru Kumari,"Chaudhary Charan Singh University Meerut, India"
Sedat Akleylek,"Ondokuz Mayıs University, Turkey"
Sezer Ulukaya,"Boğaziçi University, Turkey"
Shehzad Ashraf Chaudhry,"International Islamic University, Islamabad, Pakistan"
Sherali Zeadally,"University of Kentucky, United States"
Shreeya Swagatika Sahoo,"National Institute of Technology Rourkela, India"
Shyamalendu Kandar,"Indian Institute of Engineering Science and Technology Shibpur, India"
Sk Hafizul Islam,"Indian Institute of Information Technology Kalyani, India"
Sokratis Katsikas,"Open University of Cyprus, Greece"
SomeNath Bera,"Kalinga Institute of Industrial Technology, India"
Soubhik Chakraborty,"Birla Institute of Technology Mesra, India"
Soumya Sen,"University of Calcutta, India"
Sourav Mandal,"Xavier University Bhubaneswar, India"
Souvik Roy,"Indian Institute of Engineering Science and Technology Shibpur, India"
Souvik Sengupta,"Aliah University, India"
Sri Khetwat Saritha,"Maulana Azad National Institute of Technology, India"
Srinivasu Bodapati,"Indian Institute of Technology Mandi, India"
Stephan Neumann,"Landesbank Saar (SaarLB), Germany"
Subhankar Chatterjee,"Indian Institute of Technology Delhi, India"
Subhash Bhalla,"University of Aizu in Aizuwakamatsu, Japan"
Sudakshina Dutta,"Indian Institute of Technology Goa, India"
Sudeshna Sil Kar,"Case Western Reserve University, Ohio, United States"
Sujata Pal,"Indian Institute of Technology Kharagpur, India (Indian Institute of Technology Ropar, India)"
Sujit Kumar Das,"Jadavpur University, India"
Sukanta Das,"Indian Institute of Engineering Science and Technology Shibpur, India"
Sumanta Hati,"Indian Institute of Engineering Science and Technology Shibpur, India"
Sumanta Ray,"Aliah University, India"
Sumanto Dutta,"National Institute of Technology Rourkela, India"
Sumit Adak,"Indian Institute of Engineering Science and Technology Shibpur, India"
Sumit Hazra,"National Institute of Technology Rourkela, India"
Sumit Pal,"Indian Institute of Technology Kharagpur, India"
Sunirmal Khatua,"University of Calcutta, India"
Surajeet Ghosh,"Indian Institute of Engineering Science and Technology Shibpur, India"
Tanmoy Chakraborty,"Indian Institute of Technology Delhi, India"
Tanmoy Maitra,"Kalinga Institute of Industrial Technology, India"
Tapas Bhadra,"Aliah University, India"
Tapasi Bhattacharyya,"Techno India University, India"
Tarun Biswas,"National Institute of Technology Sikkim, India"
